Alert,Username,Source IP,Destination IP,Source Asset,Destination Asset,Source Account,Destination Account,Source Port,Destination Port,Error Code,Event ID,Affected Workload,Log Source,Scheduled Task Name,Firewall Name,Service,Object ID/Target User ID,Logon Type,Computer Name,Hostname,Timestamp
MFA Removed from a Device,user7734,241.188.250.239,87.33.90.171,Asset67,Asset79,source_account830,destination_account765,61372,46034,ERR8635,EVT6851,Teams,log_source7,task_32,firewall_9,service_29,41ec201e-85df-4adc-a79c-811b827718e4,Network,comp_40,host_54,2024-07-09 17:40:08
Multiple login failures for the same User - Windows,user9722,175.96.183.66,251.38.109.222,Asset22,Asset25,source_account136,destination_account653,15325,56033,ERR9023,EVT6771,Exchange,log_source28,task_12,firewall_4,service_38,bc1964dc-deed-4c43-9564-9d5bf582dde8,Network,comp_37,host_84,2024-07-18 18:37:45
Multiple login failures for the same User - 0365,user9378,69.20.178.85,58.221.129.9,Asset37,Asset75,source_account991,destination_account475,20803,30659,ERR6014,EVT4627,Exchange,log_source15,task_14,firewall_3,service_24,867603a4-49d9-4ef6-8072-ce7a3ee1850d,RemoteInteractive,comp_65,host_38,2024-07-20 07:23:13
Users or Group Add Operation Detected by User,user3461,169.96.35.118,136.170.181.99,Asset4,Asset87,source_account899,destination_account412,60649,12260,ERR3118,EVT6507,SharePoint,log_source48,task_34,firewall_16,service_20,51b6c5ff-d35a-46ab-9ddf-cf452057438c,Network,comp_95,host_47,2024-07-20 18:26:00
Inbox Forwarding Rule Created,user7098,125.127.17.243,220.1.25.48,Asset89,Asset69,source_account895,destination_account365,21158,33322,ERR8422,EVT9217,Exchange,log_source84,task_7,firewall_8,service_9,02f6da03-c3fc-403f-a4aa-acc26e1be1f3,Network,comp_15,host_71,2024-07-26 21:28:01
A User Account Was Deleted,user6087,141.236.239.252,128.251.24.13,Asset45,Asset67,source_account97,destination_account746,26410,31527,ERR1579,EVT8069,Teams,log_source25,task_17,firewall_12,service_10,3f719946-89b1-421b-a357-e73bbf587739,Network,comp_73,host_66,2024-07-15 15:45:12
Mass file delete by single user - O365,user6346,213.170.72.246,119.71.2.157,Asset21,Asset79,source_account362,destination_account101,13543,26002,ERR7723,EVT8548,Exchange,log_source46,task_44,firewall_7,service_27,268b6e8a-516f-4313-b775-b15072633844,Interactive,comp_3,host_30,2024-07-23 08:25:56
IPS Alert Detected,user1110,15.246.202.51,200.91.183.9,Asset100,Asset45,source_account873,destination_account405,24288,35632,ERR7920,EVT8877,OneDrive,log_source23,task_1,firewall_4,service_40,4aa71c21-bdfb-4192-8508-d5e8d8d221a0,Network,comp_95,host_73,2024-07-23 22:59:07
User Account Was Locked out,user2351,79.247.101.84,134.192.226.175,Asset100,Asset20,source_account518,destination_account13,35596,2061,ERR6032,EVT7257,Teams,log_source50,task_27,firewall_1,service_16,c0097821-70c1-4d92-80f0-a28ed85a6d20,Network,comp_53,host_36,2024-07-12 10:32:47
Users or Group Add Operation Detected by User,user2141,120.241.226.123,229.93.160.49,Asset92,Asset98,source_account730,destination_account554,54856,38412,ERR6985,EVT7533,Exchange,log_source14,task_48,firewall_2,service_1,ccd142a3-9675-426e-92d0-90131d3b8fb1,Network,comp_89,host_50,2024-07-14 10:06:50
A Scheduled Task Was Disabled,user2525,11.66.119.90,29.227.244.30,Asset28,Asset52,source_account413,destination_account612,48145,13824,ERR3040,EVT8641,Exchange,log_source41,task_49,firewall_7,service_25,0f5aecde-7a2c-4e16-8592-2914ad48fe63,Network,comp_46,host_16,2024-07-05 14:15:05
Multiple login failures for the same User - 0365,user2345,55.250.159.133,234.102.137.42,Asset75,Asset91,source_account458,destination_account830,46158,47107,ERR3656,EVT9836,OneDrive,log_source2,task_37,firewall_5,service_22,09f673d3-48d8-4400-8f6f-339db8a34d53,Interactive,comp_64,host_47,2024-07-09 02:20:44
Multiple login failures for the same User,user8682,127.35.254.74,75.32.78.224,Asset27,Asset88,source_account670,destination_account178,50326,61791,ERR4258,EVT9229,OneDrive,log_source12,task_8,firewall_11,service_41,a19290ab-e4d2-4044-b07e-fb0162d51d75,Network,comp_100,host_23,2024-07-28 08:45:08
A Scheduled Task Was Disabled,user4861,210.151.127.236,174.221.65.218,Asset85,Asset66,source_account768,destination_account277,24040,11947,ERR6612,EVT5761,Exchange,log_source37,task_17,firewall_16,service_23,43d34213-2251-460b-b228-fe0c00c1fa96,Network,comp_63,host_38,2024-07-24 12:10:27
A User Account Was Deleted,user7751,103.195.73.118,216.221.110.80,Asset36,Asset15,source_account694,destination_account336,22173,50526,ERR9528,EVT7335,Exchange,log_source91,task_47,firewall_5,service_48,6b66a0ff-6fce-4be6-adfb-729b3c16c8be,Interactive,comp_90,host_8,2024-07-22 14:44:38
A Scheduled Task Was Disabled,user9765,27.60.249.132,54.109.35.28,Asset8,Asset75,source_account828,destination_account49,12618,57898,ERR4689,EVT5884,Teams,log_source10,task_23,firewall_15,service_21,2251d737-e839-4682-afce-f8bf0f40fb16,RemoteInteractive,comp_18,host_14,2024-07-12 10:31:41
Inbox Forwarding Rule Created,user5611,60.231.59.6,147.191.54.21,Asset20,Asset38,source_account805,destination_account986,29081,60204,ERR2080,EVT4502,OneDrive,log_source65,task_14,firewall_1,service_48,a1a56820-2e5d-45de-8334-3f70ef78cc83,Network,comp_24,host_97,2024-07-31 16:51:05
Multiple login failures for the same User,user3390,182.162.185.135,119.126.198.232,Asset53,Asset12,source_account70,destination_account860,3825,41724,ERR1343,EVT6444,Exchange,log_source50,task_19,firewall_1,service_5,6085523f-eb1f-46b3-8d50-9aad66bd03e0,Interactive,comp_81,host_47,2024-07-11 11:32:58
Multiple login failures for the same User,user3070,238.158.103.249,183.206.135.142,Asset30,Asset87,source_account341,destination_account944,23170,9648,ERR9609,EVT8008,OneDrive,log_source78,task_40,firewall_11,service_1,44e1f39c-90b2-4965-81a5-0c859de8a425,RemoteInteractive,comp_98,host_7,2024-07-15 00:58:54
IPS Alert Detected,user7456,6.132.17.29,249.228.40.101,Asset27,Asset100,source_account710,destination_account145,47950,9756,ERR7188,EVT4828,Exchange,log_source82,task_11,firewall_20,service_39,b79c6e2e-1daf-4c3e-901f-bdc903cc733c,Network,comp_60,host_43,2024-07-18 04:46:33
A Scheduled Task Was Disabled,user9834,203.203.5.57,83.243.128.115,Asset46,Asset23,source_account571,destination_account96,10489,18031,ERR1140,EVT8992,Exchange,log_source26,task_5,firewall_14,service_23,6e2c8070-7f64-4c20-864e-e67cc12856f8,Network,comp_46,host_77,2024-07-07 01:18:29
Multiple login failures for the same User - Windows,user6766,239.44.92.66,215.203.180.213,Asset92,Asset34,source_account339,destination_account975,59570,39169,ERR7221,EVT1629,OneDrive,log_source66,task_5,firewall_11,service_39,b5995379-6f68-4acf-b5d1-f0e3fdb2c938,RemoteInteractive,comp_61,host_51,2024-07-16 10:41:32
Account - O365 Exchange Suspicious Mailbox Right Delegation,user6259,45.34.104.169,82.255.49.92,Asset62,Asset14,source_account321,destination_account933,6835,47097,ERR6473,EVT3920,Exchange,log_source45,task_12,firewall_11,service_3,baffa24f-713a-4316-94e1-9e497095a8f8,RemoteInteractive,comp_63,host_74,2024-07-17 19:45:08
A User Account Was Deleted,user365,168.114.180.13,194.73.59.170,Asset40,Asset49,source_account465,destination_account945,26446,8163,ERR6172,EVT4746,SharePoint,log_source59,task_17,firewall_2,service_37,9c8c1a5d-402e-4435-a0f5-81dac7f725db,Network,comp_45,host_44,2024-07-22 01:17:44
Removal of Exchange Mailbox Right Delegation,user5535,91.52.108.48,255.20.177.10,Asset2,Asset36,source_account474,destination_account135,45459,60973,ERR9653,EVT1448,Exchange,log_source45,task_28,firewall_17,service_18,fb59833e-b574-4cf1-9145-769676fd5ce2,Interactive,comp_1,host_32,2024-07-26 06:22:45
Multiple VPN login failures for the same User,user9074,49.151.231.148,214.56.168.121,Asset3,Asset56,source_account204,destination_account931,44257,10263,ERR4763,EVT3174,OneDrive,log_source32,task_2,firewall_5,service_30,ae352f9f-2ac3-4c5d-9f1a-08ac5440e4cb,Network,comp_22,host_40,2024-07-31 01:09:30
IPS Alert Detected,user6042,100.48.96.106,198.95.116.60,Asset61,Asset22,source_account238,destination_account642,44865,64143,ERR3826,EVT5590,SharePoint,log_source32,task_50,firewall_8,service_1,66909216-0f79-4691-97ae-8bd28646fba0,RemoteInteractive,comp_6,host_63,2024-07-26 13:14:33
A Scheduled Task Was Disabled,user3969,170.4.83.162,192.238.9.176,Asset91,Asset57,source_account287,destination_account970,24218,16702,ERR9511,EVT7823,Teams,log_source80,task_50,firewall_17,service_30,df66d155-2212-4a51-ad0e-b52706a76453,Interactive,comp_20,host_1,2024-07-14 21:00:06
User Account Was Locked out,user3549,108.67.133.102,54.128.215.86,Asset64,Asset3,source_account79,destination_account480,21498,13115,ERR5533,EVT5033,SharePoint,log_source14,task_7,firewall_3,service_9,80fedf92-d4a4-4af1-80de-bd1cf6735c0a,RemoteInteractive,comp_99,host_70,2024-07-05 14:35:30
Mass file delete by single user - O365,user9353,53.132.59.150,94.245.71.65,Asset22,Asset97,source_account270,destination_account979,26614,43813,ERR8897,EVT4747,Exchange,log_source79,task_5,firewall_19,service_34,80aa816e-f547-4615-abeb-2568cfd82654,Network,comp_26,host_60,2024-07-16 06:19:52
Account - O365 Exchange Suspicious Mailbox Right Delegation,user6190,165.58.206.74,13.247.92.93,Asset47,Asset73,source_account35,destination_account145,30534,47575,ERR7152,EVT8928,SharePoint,log_source53,task_9,firewall_17,service_42,c54924fa-9233-4159-b8a3-90f15a57e74c,RemoteInteractive,comp_37,host_51,2024-07-08 18:37:58
Multiple login failures for the same User,user7279,253.62.232.47,215.221.101.2,Asset45,Asset14,source_account886,destination_account75,23517,56732,ERR9949,EVT5322,SharePoint,log_source62,task_42,firewall_5,service_31,f27475db-f51e-4c40-aa28-4e9ab8c2a45b,RemoteInteractive,comp_36,host_19,2024-07-29 05:59:43
User Added to Office 365 Administrator Role,user9396,149.120.11.38,207.29.94.189,Asset95,Asset53,source_account169,destination_account513,37104,33266,ERR5317,EVT9162,Teams,log_source14,task_17,firewall_18,service_4,ca9c41e6-f99d-40cc-8ef1-90c16c70d913,RemoteInteractive,comp_5,host_86,2024-07-29 01:54:52
Multiple login failures for the same User,user7609,159.184.136.71,250.204.77.166,Asset41,Asset52,source_account762,destination_account61,34554,6756,ERR8825,EVT7154,Teams,log_source23,task_40,firewall_13,service_31,880dc127-d6af-4c0f-900a-6ccf5379db21,Interactive,comp_1,host_21,2024-07-04 15:03:02
Mass file delete,user9987,10.23.244.171,231.176.250.138,Asset9,Asset35,source_account181,destination_account286,10004,19155,ERR9211,EVT7278,Exchange,log_source14,task_23,firewall_13,service_21,8a22b686-25d5-4958-8eb7-80be39d79ee2,Network,comp_60,host_20,2024-07-31 18:48:58
IPS Alert Detected,user107,214.3.21.253,232.184.222.9,Asset2,Asset17,source_account249,destination_account354,28330,9172,ERR2198,EVT5570,Exchange,log_source65,task_22,firewall_13,service_15,fdbb8663-6005-402a-9a41-f60a93b47fad,Interactive,comp_1,host_60,2024-08-01 16:30:44
IPS Alert Detected,user2526,195.72.48.16,146.18.249.25,Asset76,Asset49,source_account132,destination_account68,19756,55957,ERR5504,EVT5599,Teams,log_source93,task_35,firewall_2,service_38,9bd21060-f8de-4dd1-888b-b2d26bb21a71,Network,comp_4,host_77,2024-07-12 19:49:23
MFA Removed from a Device,user7821,48.100.93.207,35.161.240.160,Asset91,Asset64,source_account563,destination_account741,60878,5739,ERR2488,EVT1579,OneDrive,log_source4,task_1,firewall_6,service_3,197deb4b-9427-4e2d-ad7d-1100f3b56ed9,RemoteInteractive,comp_53,host_83,2024-07-28 00:24:29
Mass file download by single user - O365 remotely access 4 new assets,user4139,32.159.79.181,231.74.82.245,Asset61,Asset5,source_account71,destination_account99,5448,13139,ERR7993,EVT3457,Exchange,log_source67,task_32,firewall_17,service_39,86679034-3dbe-4e94-a40d-6739f57cd346,Network,comp_11,host_18,2024-07-08 12:50:44
